('simbol', 5.5252583507389938e-145)
('akunuser', 7.1681426641735096e-94)
('sakit', 7.8652649708653668e-77)
('teambts', 8.2039408478995432e-62)
('with', 8.0787987642822222e-61)
('kg', 7.1359025025135807e-47)
('000', 3.103028218156041e-43)
('taut', 3.5552389843347921e-34)
('pepatah', 5.3818871234031154e-30)
('idr', 4.7609767218817813e-27)
('jadi', 5.211465476001165e-27)
('lih', 1.3253404360428826e-24)
('nya', 4.7700939517116958e-23)
('danish', 4.1256575249719676e-22)
('hari', 6.0926582639303902e-22)
('by', 9.1973499622672719e-22)
('iya', 2.2811541852246314e-21)
('maudlin', 4.3179093865229421e-21)
('huruf', 5.6604083032532238e-21)
('lunas', 1.0827612827331001e-18)
('w', 3.1647528958832886e-18)
('kerja', 4.7864091975972322e-17)
('tapioka', 7.0148873491537881e-17)
('i', 1.7181184561131222e-16)
('posted', 1.0112349727459567e-15)
('jeruk', 1.0814241098454929e-15)
('banget', 2.5400965806425811e-15)
('siang', 2.5400965806425811e-15)
('cinta', 4.2489828742379455e-15)
('cetak', 4.9192054765698495e-15)
('adil', 6.2857436651020766e-15)
('perintah', 1.2914318536139214e-14)
('makan', 6.5146419211447362e-14)
('08175234384', 3.0216548907895706e-13)
('anak', 5.9924855624195051e-13)
('lengkap', 1.6246235436953445e-12)
('online', 1.6246235436953445e-12)
('tahun', 5.8682821868647372e-12)
('ya', 6.8905983091902363e-12)
('selamat', 1.0328085681653402e-11)
('inf', 1.9654687778479629e-11)
('rp', 1.994262862393122e-11)
('semangat', 2.6081669769367883e-11)
('malam', 4.3298469136979155e-11)
('tahu', 4.3298469136979155e-11)
('indonesia', 6.5305536464077223e-11)
('hati', 6.962345257753297e-11)
('kata', 1.0481985591405807e-10)
('biar', 1.6672334687047478e-10)
('sayang', 1.7582319883409537e-10)
('tawa', 2.1928118305034292e-10)
('ikut', 4.0120235937722847e-10)
('jalan', 5.2052882073031629e-10)
('akibat', 5.5769244979885379e-10)
('ukur', 6.494301207985028e-10)
('suka', 6.7183487473902663e-10)
('baik', 6.7857599182106735e-10)
('beri', 1.1239449624798946e-09)
('lihat', 1.1640385911501442e-09)
('libur', 1.7034399015091011e-09)
('moga', 1.7034399015091011e-09)
('adidas', 4.2805713998483516e-09)
('aja', 4.3239881338989739e-09)
('canon', 8.8890965926254024e-09)
('cp820', 8.8890965926254024e-09)
('http', 8.8890965926254024e-09)
('praktis', 8.8890965926254024e-09)
('selphy', 8.8890965926254024e-09)
('punya', 9.9420311676461743e-09)
('sih', 1.098971685195674e-08)
('panas', 1.7343255469325114e-08)
('jenis', 1.7514473710947449e-08)
('penuh', 1.8293257041367183e-08)
('tunggu', 2.7819017637858821e-08)
('jakarta', 2.8292139668538085e-08)
('at', 3.3538040488336714e-08)
('395', 4.1092546377285029e-08)
('alhamdulillah', 4.6463272654741325e-08)
('sele', 5.2207549434545913e-08)
('bareng', 7.1296937993599376e-08)
('ketemu', 7.1296937993599376e-08)
('latepost', 7.4084764281491636e-08)
('teman', 9.84532610975097e-08)
('watching', 1.1390370334486054e-07)
('klik', 1.1685036285592538e-07)
('pulang', 1.1816740573825563e-07)
('order', 1.6830441933844957e-07)
('jauh', 1.7734438787098493e-07)
('lupa', 1.8205606637234306e-07)
('mahoni', 1.8205606637234306e-07)
('masa', 1.8205606637234306e-07)
('sampan', 1.8205606637234306e-07)
('hidup', 1.885490494793686e-07)
('kak', 2.5542461275193496e-07)
('kangguru', 2.9112912684194757e-07)
('hujan', 3.0096617183462578e-07)
('datang', 4.6579356535478383e-07)
('kangen', 4.6579356535478383e-07)
('pakai', 4.6579356535478383e-07)
('yaa', 4.806039279985311e-07)
('foto', 6.8278952761719201e-07)
('besok', 7.1279346759786835e-07)
('ajar', 7.4566580419928902e-07)
('salah', 7.4566580419928902e-07)
('pagi', 7.6779220547922104e-07)
('rasa', 1.1406714435640536e-06)
('kantor', 1.1860894747377686e-06)
('belenggu', 1.1944147172602912e-06)
('d', 1.7508001367046053e-06)
('kuliah', 1.9144561390067478e-06)
('nonton', 1.9144561390067478e-06)
('perlu', 1.9144561390067478e-06)
('cantik', 1.9622911327834312e-06)
('pukul', 2.206112619948857e-06)
('kasih', 2.6349461253909378e-06)
('sewa', 2.8016554335734441e-06)
('kapal', 2.869790709141253e-06)
('allah', 3.0706933318143173e-06)
('tees', 3.8795409751172861e-06)
('it', 4.9289247333493776e-06)
('laki', 4.9289247333493776e-06)
('nemenin', 4.9289247333493776e-06)
('tuju', 4.9289247333493776e-06)
('udah', 4.9289247333493776e-06)
('you', 4.9289247333493776e-06)
('soompiawards2015', 5.3804136049563654e-06)
('kampus', 5.4505633225113831e-06)
('ind', 6.0831610881674677e-06)
('kedai', 6.0912529642425247e-06)
('nih', 7.9180749962060187e-06)
('nyata', 7.9180749962060187e-06)
('tidur', 7.9180749962060187e-06)
('uang', 8.0494649635783836e-06)
('120', 8.4108879888490839e-06)
('black', 8.4108879888490839e-06)
('barat', 9.6128318419117389e-06)
('tenang', 9.6128318419117389e-06)
('informasi', 1.0274839250856609e-05)
('kakak', 1.1575261806616857e-05)
('luka', 1.1575261806616857e-05)
('tengah', 1.1879648334859382e-05)
('warung', 1.2106359069163711e-05)
('bilang', 1.2731196401393349e-05)
('kesini', 1.2731196401393349e-05)
('siap', 1.2731196401393349e-05)
('acara', 1.2901094771194265e-05)
('akhir', 1.2901094771194265e-05)
('bahagia', 1.5187412092503752e-05)
('ayo', 1.8612292345639004e-05)
('gak', 2.0489704002319243e-05)
('happy', 2.0489704002319243e-05)
