Kuliner malem?????????#cubitemeruya di Cubite Meruya https://t.co/xoq9uO7IzX 
Control babang tama.. alhamdullilah timbangan nya naik. Sehat iya babang???????? (at RSIA Ridogalih) — https://t.co/MxDeiKei0o 
"see you next holiday beibeehku ???????????????????? (with Laily, hilyatul, and Maharani at @kai121) [pic] — https://t.co/XBAKY6pZc9" 
"Bnyak yang saling sayang&amp;cinta tapi g bisa bersama, bersatu. Bnyak yg… https://t.co/4tNSoiJdYN" 
"""Kayak Anak Kecil"" ???????????? Emang ,, aku masih kecil kakak ???? Masih berasa anak… https://t.co/EUpX1huLvF" 
Praktikum IPD buah buahan ???????????????????????????????????????????????????? (with Ulfa at POLTEKKES KEMENKES Mataram Kampus B) [pic] — https://t.co/zOhvmoNFva 
"Oia ini bulan november dimana penentuan perpanjangan kontrak atau grad, haha" 
"Nocapt. #Gathering&amp;Abdimasuib #satu asa, satu dalam rasa, lestari… https://t.co/1MOd47fGXJ" 
Pertamakalinya jam segini balik ngampus. Harus produktiv nih.... tidur… (w/ Mohammad at Komplek puskopad) — https://t.co/4DGOQXORpk 
"Open Table di Dago Endah Golf Bandung, 25 Oktober 2015 KUTAWARINGIN INDUSTRIAL PARK Kawasan Industri… https://t.co/khfu2INDQm" 
"???????????? (with Yuliantikka, anjar dwi, and 2 others at Gallery Nasional) — https://t.co/8sb1vXkwIh" 
Warbiasaaah kalian ???? OJK ya! #grandfinalolimpiadekeuanganojk #olimpiadekeuanganojkpurwokerto @… https://t.co/A39TIPwQA2 
Pergiii jauh EGA KEBANJIRAN KADO ULTAH 
Hahahahahahahaha 
"Open Join Member. Silakan dm saja ya. Melayani Camsex (Skype), Chatsex." 
At City Walk Sudirman — https://t.co/Yfi6Be9ovH 
???????????? (at Tempatku jl. Basuki cilangkap) [pic] — https://t.co/tid1NtnC0P 
"The 90's Big Reunion, 7 Nov15. Istora Senayan, Jakarta. tiket bisa beli @indotix /08111550433 @the90sfestival https://t.co/GfVjvNug8R" 
